case_name,aircon,ventilation,exhaust,1_x,1_y,1_z,1_angle,2_x,2_y,2_z,2_angle,3_x,3_y,3_z,3_angle,4_x,4_y,4_z,4_angle,5_x,5_y,5_z,5_angle,office_size_x,office_size_y,aircon_position_x,aircon_position_y
office1_0_41_aout,0,41,a,4.76,2.18,1.255,180.0,3.285,3.16,1.255,270.0,1.835,3.16,1.255,270.0,1.435,1.241,1.255,90.0,2.885,1.241,1.255,90.0,6.0,5.5,3.0,2.75
office1_960_41_bout,960,41,b,4.76,2.18,1.255,180.0,3.285,3.16,1.255,270.0,1.835,3.16,1.255,270.0,1.435,1.241,1.255,90.0,2.885,1.241,1.255,90.0,6.0,5.5,3.0,2.75
office1_660_41_aout,660,41,a,4.76,2.18,1.255,180.0,3.285,3.16,1.255,270.0,1.835,3.16,1.255,270.0,1.435,1.241,1.255,90.0,2.885,1.241,1.255,90.0,6.0,5.5,3.0,2.75
office1_660_205_aout,660,205,a,4.76,2.18,1.255,180.0,3.285,3.16,1.255,270.0,1.835,3.16,1.255,270.0,1.435,1.241,1.255,90.0,2.885,1.241,1.255,90.0,6.0,5.5,3.0,2.75
office1_960_0,960,0,off,4.76,2.18,1.255,180.0,3.285,3.16,1.255,270.0,1.835,3.16,1.255,270.0,1.435,1.241,1.255,90.0,2.885,1.241,1.255,90.0,6.0,5.5,3.0,2.75
office1_660_123_aout,660,123,a,4.76,2.18,1.255,180.0,3.285,3.16,1.255,270.0,1.835,3.16,1.255,270.0,1.435,1.241,1.255,90.0,2.885,1.241,1.255,90.0,6.0,5.5,3.0,2.75
office1_660_82_aout,660,82,a,4.76,2.18,1.255,180.0,3.285,3.16,1.255,270.0,1.835,3.16,1.255,270.0,1.435,1.241,1.255,90.0,2.885,1.241,1.255,90.0,6.0,5.5,3.0,2.75
office1_0_164_aout,0,164,a,4.76,2.18,1.255,180.0,3.285,3.16,1.255,270.0,1.835,3.16,1.255,270.0,1.435,1.241,1.255,90.0,2.885,1.241,1.255,90.0,6.0,5.5,3.0,2.75
office1_960_246_aout,960,246,a,4.76,2.18,1.255,180.0,3.285,3.16,1.255,270.0,1.835,3.16,1.255,270.0,1.435,1.241,1.255,90.0,2.885,1.241,1.255,90.0,6.0,5.5,3.0,2.75
office1_960_41_aout,960,41,a,4.76,2.18,1.255,180.0,3.285,3.16,1.255,270.0,1.835,3.16,1.255,270.0,1.435,1.241,1.255,90.0,2.885,1.241,1.255,90.0,6.0,5.5,3.0,2.75
