case_name,office,aircon,ventilation,exhaust,countTimeMean_onlyFloating
office4_360_164_aout,office4,360.0,164.0,a,1333.1380000000001
office4_360_164_bout,office4,360.0,164.0,b,1438.9013333333335
office4_360_246_aout,office4,360.0,246.0,a,1311.1676666666667
office4_360_246_bout,office4,360.0,246.0,b,1673.1140000000003
office4_360_82_aout,office4,360.0,82.0,a,1721.068
office4_360_82_bout,office4,360.0,82.0,b,1480.3446666666669
office4_660_0,office4,660.0,0.0,off,1558.9516666666666
office4_660_164_aout,office4,660.0,164.0,a,1494.8836666666666
office4_660_164_bout,office4,660.0,164.0,b,1502.1513333333335
office4_660_246_aout,office4,660.0,246.0,a,1386.6296666666667
office4_660_246_bout,office4,660.0,246.0,b,1692.3413333333333
office4_660_82_aout,office4,660.0,82.0,a,1458.2043333333336
office4_660_82_bout,office4,660.0,82.0,b,1358.927333333333
office4_960_0,office4,960.0,0.0,off,1281.3436666666666
office4_960_164_aout,office4,960.0,164.0,a,1623.0820000000003
office4_960_164_bout,office4,960.0,164.0,b,1195.4730000000002
office4_960_246_aout,office4,960.0,246.0,a,1066.8886666666665
office4_960_246_bout,office4,960.0,246.0,b,1294.946
office4_960_82_aout,office4,960.0,82.0,a,1212.2166666666667
office4_960_82_bout,office4,960.0,82.0,b,1438.065
office5_0_0,office5,0.0,0.0,off,1943.6796666666671
office5_0_164_aout,office5,0.0,164.0,a,2808.778666666666
office5_0_164_bout,office5,0.0,164.0,b,2142.344333333333
office5_0_246_aout,office5,0.0,246.0,a,2210.1946666666668
office5_0_246_bout,office5,0.0,246.0,b,1962.683
office5_0_82_aout,office5,0.0,82.0,a,2117.6986666666667
office5_0_82_bout,office5,0.0,82.0,b,1803.6553333333336
office5_360_0,office5,360.0,0.0,off,1807.4793333333334
office5_360_164_aout,office5,360.0,164.0,a,1816.0966666666666
office5_360_164_bout,office5,360.0,164.0,b,2092.6510000000003
office5_360_246_aout,office5,360.0,246.0,a,1585.0813333333333
office5_360_246_bout,office5,360.0,246.0,b,1932.153
office5_360_82_aout,office5,360.0,82.0,a,1632.798
office5_360_82_bout,office5,360.0,82.0,b,1666.8976666666667
office5_660_0,office5,660.0,0.0,off,1510.3890000000001
office5_660_164_aout,office5,660.0,164.0,a,1550.2416666666666
office5_660_164_bout,office5,660.0,164.0,b,1772.8743333333334
office5_660_246_aout,office5,660.0,246.0,a,1819.5026666666668
office5_660_246_bout,office5,660.0,246.0,b,1869.462
office5_660_82_aout,office5,660.0,82.0,a,1825.8966666666668
office5_660_82_bout,office5,660.0,82.0,b,1475.2033333333334
office5_960_0,office5,960.0,0.0,off,1147.78
office5_960_164_aout,office5,960.0,164.0,a,1565.5066666666667
office5_960_164_bout,office5,960.0,164.0,b,1608.5713333333333
office5_960_246_aout,office5,960.0,246.0,a,1400.54
office5_960_246_bout,office5,960.0,246.0,b,1484.2633333333333
office5_960_82_aout,office5,960.0,82.0,a,1417.8770000000002
office5_960_82_bout,office5,960.0,82.0,b,1440.3183333333334
office6_0_0,office6,0.0,0.0,off,1531.844
office6_0_164_aout,office6,0.0,164.0,a,1569.5853333333332
office6_0_164_bout,office6,0.0,164.0,b,1247.0663333333334
office6_0_246_aout,office6,0.0,246.0,a,1414.7056666666665
office6_0_246_bout,office6,0.0,246.0,b,1482.738
office6_0_82_aout,office6,0.0,82.0,a,1150.357
office6_0_82_bout,office6,0.0,82.0,b,1450.7116666666664
office6_360_0,office6,360.0,0.0,off,1403.8056666666666
office6_360_164_aout,office6,360.0,164.0,a,1557.2383333333332
office6_360_164_bout,office6,360.0,164.0,b,1299.1676666666667
office6_360_246_aout,office6,360.0,246.0,a,1451.2663333333335
office6_360_246_bout,office6,360.0,246.0,b,1794.6393333333335
office6_360_82_aout,office6,360.0,82.0,a,1329.6903333333332
office6_360_82_bout,office6,360.0,82.0,b,1720.3663333333334
office6_660_0,office6,660.0,0.0,off,1641.8416666666667
office6_660_164_aout,office6,660.0,164.0,a,1895.6383333333333
office6_660_164_bout,office6,660.0,164.0,b,1430.9806666666666
office6_660_246_aout,office6,660.0,246.0,a,1991.2433333333333
office6_660_246_bout,office6,660.0,246.0,b,1651.7886666666666
office6_660_82_aout,office6,660.0,82.0,a,1514.8743333333332
office6_660_82_bout,office6,660.0,82.0,b,1311.7986666666666
office6_960_0,office6,960.0,0.0,off,1890.0629999999996
office6_960_164_aout,office6,960.0,164.0,a,1820.4796666666668
office6_960_164_bout,office6,960.0,164.0,b,1247.837
office6_960_246_aout,office6,960.0,246.0,a,1828.9763333333335
