case_name,office,aircon,ventilation,exhaust,n_from2sec,n_from2sec/S,countTimeMean_sit,countTimeMean_sit2stand
office1_660_0,office1,660.0,0.0,off,5771.0,174.87878787878788,144.4026622296173,1146.7207986688852
office1_660_123_aout,office1,660.0,123.0,a,5253.4,159.1939393939394,313.367387687188,1462.581364392679
office1_660_123_bout,office1,660.0,123.0,b,6213.2,188.27878787878788,252.4029950083195,1336.7351081530783
office1_660_164_aout,office1,660.0,164.0,a,5221.6,158.23030303030302,106.1630615640599,1087.924792013311
office1_660_164_bout,office1,660.0,164.0,b,5593.8,169.5090909090909,162.39434276206322,1087.3231281198002
office1_660_205_aout,office1,660.0,205.0,a,6176.8,187.1757575757576,89.86522462562397,1082.8542429284523
office1_660_205_bout,office1,660.0,205.0,b,5804.8,175.9030303030303,195.7557404326123,1379.5051580698835
office1_660_246_aout,office1,660.0,246.0,a,5693.4,172.52727272727273,409.76572379367724,1820.8672212978367
office1_660_246_bout,office1,660.0,246.0,b,5715.6,173.2,143.55440931780365,1051.6189683860232
office1_660_41_aout,office1,660.0,41.0,a,6365.2,192.88484848484848,412.4036605657238,1858.6615640599002
office1_660_41_bout,office1,660.0,41.0,b,5928.6,179.65454545454546,124.6026622296173,1041.1770382695506
office1_660_82_aout,office1,660.0,82.0,a,4905.4,148.64848484848486,86.65823627287854,963.6146422628952
office1_660_82_bout,office1,660.0,82.0,b,7294.0,221.030303030303,399.3524126455907,1766.4103161397672
