case_name,office,aircon,ventilation,exhaust,n_from2sec,n_from2sec/S,count_sum,count_timeMean
office14_360_164_bout,office14,360.0,164.0,b,5027.8,119.7095238095238,254387.0,423.2728785357737
office14_360_246_aout,office14,360.0,246.0,a,6186.6,147.3,124721.8,207.52379367720465
office14_360_246_bout,office14,360.0,246.0,b,6709.8,159.75714285714284,269836.2,448.9787021630616
office14_360_82_aout,office14,360.0,82.0,a,6240.0,148.57142857142858,155687.8,259.04792013311146
office14_360_82_bout,office14,360.0,82.0,b,6246.2,148.7190476190476,275558.6,458.500166389351
office14_660_0,office14,660.0,0.0,off,6421.0,152.88095238095238,131035.0,218.02828618968385
office14_660_164_aout,office14,660.0,164.0,a,5891.8,140.2809523809524,113623.8,189.05790349417637
office14_660_164_bout,office14,660.0,164.0,b,5812.2,138.3857142857143,130290.8,216.7900166389351
office14_660_246_aout,office14,660.0,246.0,a,5547.8,132.09047619047618,241096.0,401.15806988352745
office14_660_246_bout,office14,660.0,246.0,b,6053.6,144.13333333333333,125651.6,209.07088186356074
office14_660_82_aout,office14,660.0,82.0,a,6080.4,144.77142857142854,133150.0,221.54742096505822
office14_660_82_bout,office14,660.0,82.0,b,5466.8,130.16190476190476,141709.6,235.78968386023294
office14_960_0,office14,960.0,0.0,off,6456.6,153.72857142857143,174896.8,291.0096505823627
office14_960_164_aout,office14,960.0,164.0,a,5238.0,124.71428571428572,113935.2,189.57603993344426
office14_960_164_bout,office14,960.0,164.0,b,5670.8,135.01904761904763,134795.6,224.28552412645593
office14_960_246_aout,office14,960.0,246.0,a,6409.4,152.6047619047619,190995.2,317.7956738768719
office14_960_246_bout,office14,960.0,246.0,b,6471.8,154.09047619047618,152677.0,254.03826955074877
office14_960_82_aout,office14,960.0,82.0,a,5118.4,121.86666666666667,81762.4,136.04392678868552
office14_960_82_bout,office14,960.0,82.0,b,6645.2,158.2190476190476,154785.0,257.5457570715474
office1_0_0,office1,0.0,0.0,off,7337.2,222.339393939394,242030.8,402.7134775374376
office1_0_123_aout,office1,0.0,123.0,a,7207.2,218.4,318811.0,530.467554076539
office1_0_123_bout,office1,0.0,123.0,b,6642.8,201.2969696969697,407380.8,677.8382695507487
office1_0_164_aout,office1,0.0,164.0,a,7249.8,219.6909090909091,246569.6,410.26555740432616
office1_0_164_bout,office1,0.0,164.0,b,7328.0,222.0606060606061,350050.0,582.4459234608985
office1_0_205_aout,office1,0.0,205.0,a,7809.8,236.66060606060609,291301.2,484.69417637271215
office1_0_205_bout,office1,0.0,205.0,b,7306.4,221.40606060606063,267179.8,444.55873544093174
office1_0_246_aout,office1,0.0,246.0,a,7282.8,220.69090909090903,345837.6,575.4369384359401
office1_0_246_bout,office1,0.0,246.0,b,6995.8,211.9939393939394,470282.8,782.5004991680532
office1_0_41_aout,office1,0.0,41.0,a,7484.0,226.7878787878788,309614.0,515.1647254575707
office1_0_41_bout,office1,0.0,41.0,b,7420.4,224.86060606060605,396719.8,660.0995008319468
office1_0_82_aout,office1,0.0,82.0,a,6227.6,188.71515151515152,287894.4,479.0256239600666
office1_0_82_bout,office1,0.0,82.0,b,6997.0,212.03030303030303,260466.6,433.38868552412646
office1_660_0,office1,660.0,0.0,off,5771.0,174.87878787878788,86786.0,144.4026622296173
office1_660_123_aout,office1,660.0,123.0,a,5253.4,159.1939393939394,188333.8,313.367387687188
office1_660_123_bout,office1,660.0,123.0,b,6213.2,188.27878787878788,151694.2,252.4029950083195
office1_660_164_aout,office1,660.0,164.0,a,5221.6,158.23030303030302,63804.0,106.1630615640599
office1_660_164_bout,office1,660.0,164.0,b,5593.8,169.5090909090909,97599.0,162.39434276206322
office1_660_205_aout,office1,660.0,205.0,a,6176.8,187.1757575757576,54009.0,89.86522462562397
office1_660_205_bout,office1,660.0,205.0,b,5804.8,175.9030303030303,117649.2,195.7557404326123
office1_660_246_aout,office1,660.0,246.0,a,5693.4,172.52727272727273,246269.2,409.76572379367724
office1_660_246_bout,office1,660.0,246.0,b,5715.6,173.2,86276.2,143.55440931780365
office1_660_41_aout,office1,660.0,41.0,a,6365.2,192.88484848484848,247854.6,412.4036605657238
office1_660_41_bout,office1,660.0,41.0,b,5928.6,179.65454545454546,74886.2,124.6026622296173
office1_660_82_aout,office1,660.0,82.0,a,4905.4,148.64848484848486,52081.6,86.65823627287854
office1_660_82_bout,office1,660.0,82.0,b,7294.0,221.030303030303,240010.8,399.3524126455907
office1_960_0,office1,960.0,0.0,off,6207.8,188.1151515151515,162348.6,270.13078202995007
