x,y,z,num_drop,volume[ml],RoI
1.800000,.1000000,1.250000,0,.000000,.000000
1.900000,.1000000,1.250000,0,.000000,.000000
2.000000,.1000000,1.250000,0,.000000,.000000
2.100000,.1000000,1.250000,0,.000000,.000000
2.200000,.1000000,1.250000,0,.000000,.000000
2.300000,.1000000,1.250000,0,.000000,.000000
2.400000,.1000000,1.250000,1,.3817035E-09,.2544522E-03
2.500000,.1000000,1.250000,4,.9571386E-09,.6378889E-03
2.600000,.1000000,1.250000,9,.2031040E-08,.1353085E-02
2.700000,.1000000,1.250000,13,.1214019E-05,.5548508
2.800000,.1000000,1.250000,16,.1151449E-05,.5358896
2.900000,.1000000,1.250000,16,.5246297E-06,.2951379
3.000000,.1000000,1.250000,16,.3700654E-08,.2464056E-02
3.100000,.1000000,1.250000,11,.1299260E-06,.8297205E-01
3.200000,.1000000,1.250000,13,.7890939E-06,.4090729
3.300000,.1000000,1.250000,3,.2558430E-06,.1568092
3.400000,.1000000,1.250000,19,.1520537E-06,.9640056E-01
3.500000,.1000000,1.250000,0,.000000,.000000
3.600000,.1000000,1.250000,11,.5127316E-06,.2895247
3.700000,.1000000,1.250000,6,.1501718E-06,.9526622E-01
3.800000,.1000000,1.250000,18,.1313605E-06,.8384860E-01
3.900000,.1000000,1.250000,5,.1221392E-07,.8109570E-02
4.000000,.1000000,1.250000,0,.000000,.000000
4.100000,.1000000,1.250000,4,.4616722E-09,.3077388E-03
4.200000,.1000000,1.250000,4,.6271295E-09,.4180074E-03
4.300000,.1000000,1.250000,3,.1310196E-06,.8364040E-01
4.400000,.1000000,1.250000,6,.1164463E-07,.7733047E-02
4.500000,.1000000,1.250000,3,.1941133E-09,.1294017E-03
4.600000,.1000000,1.250000,0,.000000,.000000
4.700000,.1000000,1.250000,13,.1249378E-07,.8294582E-02
4.800000,.1000000,1.250000,21,.1462482E-07,.9702504E-02
4.900000,.1000000,1.250000,10,.2806489E-08,.1869261E-02
5.000000,.1000000,1.250000,4,.9571386E-09,.6378889E-03
5.100000,.1000000,1.250000,2,.1937315E-09,.1291633E-03
5.200000,.1000000,1.250000,16,.9476942E-08,.6298065E-02
5.300000,.1000000,1.250000,11,.1353025E-07,.8979619E-02
5.400000,.1000000,1.250000,12,.1339359E-07,.8889318E-02
5.500000,.1000000,1.250000,5,.1171846E-07,.7781863E-02
5.600000,.1000000,1.250000,2,.1127092E-07,.7485807E-02
5.700000,.1000000,1.250000,2,.7634070E-09,.5087852E-03
5.800000,.1000000,1.250000,3,.7775442E-09,.5182028E-03
5.900000,.1000000,1.250000,33,.1963832E-07,.1300687E-01
6.000000,.1000000,1.250000,4,.2217428E-07,.1467413E-01
6.100000,.1000000,1.250000,0,.000000,.000000
6.200000,.1000000,1.250000,1,.3817035E-09,.2544522E-03
6.300000,.1000000,1.250000,0,.000000,.000000
6.400000,.1000000,1.250000,0,.000000,.000000
6.500000,.1000000,1.250000,0,.000000,.000000
6.600000,.1000000,1.250000,0,.000000,.000000
6.700000,.1000000,1.250000,0,.000000,.000000
6.800000,.1000000,1.250000,0,.000000,.000000
6.900000,.1000000,1.250000,0,.000000,.000000
7.000000,.1000000,1.250000,0,.000000,.000000
7.100000,.1000000,1.250000,0,.000000,.000000
7.200000,.1000000,1.250000,0,.000000,.000000
7.300000,.1000000,1.250000,0,.000000,.000000
7.400000,.1000000,1.250000,0,.000000,.000000
7.500000,.1000000,1.250000,0,.000000,.000000
7.600000,.1000000,1.250000,0,.000000,.000000
7.700000,.1000000,1.250000,0,.000000,.000000
7.800000,.1000000,1.250000,0,.000000,.000000
7.900000,.1000000,1.250000,0,.000000,.000000
8.000000,.1000000,1.250000,0,.000000,.000000
8.100000,.1000000,1.250000,0,.000000,.000000
8.200000,.1000000,1.250000,0,.000000,.000000
8.300000,.1000000,1.250000,0,.000000,.000000
8.400000,.1000000,1.250000,0,.000000,.000000
8.500000,.1000000,1.250000,0,.000000,.000000
8.600000,.1000000,1.250000,0,.000000,.000000
8.700000,.1000000,1.250000,0,.000000,.000000
8.800000,.1000000,1.250000,0,.000000,.000000
8.900000,.1000000,1.250000,0,.000000,.000000
.000000,.2000000,1.250000,0,.000000,.000000
.1000000,.2000000,1.250000,0,.000000,.000000
.2000000,.2000000,1.250000,0,.000000,.000000
.3000000,.2000000,1.250000,0,.000000,.000000
.4000000,.2000000,1.250000,0,.000000,.000000
.5000000,.2000000,1.250000,0,.000000,.000000
.6000000,.2000000,1.250000,0,.000000,.000000
.7000000,.2000000,1.250000,0,.000000,.000000
.8000000,.2000000,1.250000,0,.000000,.000000
