case_name,diffusivity,RoI
office28_360_164_bout,0.15298246,0.2523907
office28_660_246_aout,0.16105263,0.22683775
office28_660_82_bout,0.1636842,0.23057899
office28_660_82_aout,0.17070176,0.18999901
office28_660_164_bout,0.1968421,0.2100033
office28_0_164_aout,0.08421053,0.3251998
office28_0_82_aout,0.083333336,0.36616206
office28_660_164_aout,0.17666666,0.1594925
office28_660_246_bout,0.22298245,0.19844648
office28_360_246_bout,0.1636842,0.21932073
office28_960_82_aout,0.29614034,0.13970965
office28_360_82_bout,0.12807018,0.26637208
office28_360_82_aout,0.12929824,0.22132327
office28_0_0,0.08280702,0.3772591
office28_960_164_bout,0.28245613,0.16127099
office28_0_246_aout,0.07947368,0.36906633
office28_360_164_aout,0.13245614,0.20506133
office28_360_0,0.13122807,0.21865763
office28_0_82_bout,0.08508772,0.36691204
office28_960_246_aout,0.31105262,0.12873532
office28_960_164_aout,0.26807016,0.15222642
office28_0_164_bout,0.0977193,0.33035177
office28_0_246_bout,0.10385965,0.3339545
office28_960_82_bout,0.23807018,0.20146033
office28_660_0,0.15684211,0.1623416
office28_360_246_aout,0.12912281,0.21687086
office28_960_0,0.24157895,0.18868488
office28_960_246_bout,0.28701755,0.18701696
