x,y,z,num_droplets,volume,RoI
4.1,0.1,1.25,1.4,2.352556e-09,0.0015671253
4.2,0.1,1.25,23.4,1.8079923e-08,0.011980951
4.3,0.1,1.25,4.2,7.6223755e-10,0.0005080104
4.4,0.1,1.25,0.2,7.63407e-11,5.0902367e-05
4.5,0.1,1.25,0.4,7.916814e-11,5.275011e-05
4.6,0.1,1.25,0.4,1.526814e-10,0.00010180473
4.7,0.1,1.25,0.0,0.0,0.0
4.8,0.1,1.25,0.0,0.0,0.0
4.9,0.1,1.25,20.2,4.8591486e-09,0.0032342076
5.0,0.1,1.25,1.8,2.614416e-08,0.017278433
5.1,0.1,1.25,0.0,0.0,0.0
5.2,0.1,1.25,0.0,0.0,0.0
5.3,0.1,1.25,0.0,0.0,0.0
5.4,0.1,1.25,5.6,6.4950156e-09,0.0043206215
5.5,0.1,1.25,63.6,3.0325157e-08,0.02001381
5.6,0.1,1.25,12.6,1.0246592e-08,0.006807804
5.7,0.1,1.25,3.2,2.8167467e-08,0.018603086
5.8,0.1,1.25,0.0,0.0,0.0
5.9,0.1,1.25,0.0,0.0,0.0
0.0,0.2,1.25,0.0,0.0,0.0
0.1,0.2,1.25,9.6,4.1440384e-08,0.0272488
0.2,0.2,1.25,6.6,1.8654231e-09,0.0012428164
0.3,0.2,1.25,21.4,1.281015e-08,0.008503735
0.4,0.2,1.25,87.399994,1.946712e-07,0.12171209
0.5,0.2,1.25,63.4,1.5548096e-07,0.09846282
0.6,0.2,1.25,2.8,2.8580858e-09,0.0019035935
0.7,0.2,1.25,0.2,7.63407e-11,5.0902367e-05
0.8,0.2,1.25,1.4,1.3902332e-09,0.0009263754
0.9,0.2,1.25,9.0,3.076965e-08,0.020304143
1.0,0.2,1.25,1.0,2.6776842e-10,0.00017851591
1.1,0.2,1.25,2.0,6.814742e-09,0.0045328736
1.2,0.2,1.25,0.8,3.396846e-09,0.0022619963
1.3,0.2,1.25,0.2,1.3089969e-11,8.702278e-06
1.4,0.2,1.25,0.4,5.971514e-10,0.00039803982
1.5,0.2,1.25,0.0,0.0,0.0
1.6,0.2,1.25,2.2,3.234038e-08,0.021329522
1.7,0.2,1.25,3.4,3.2598415e-08,0.021497846
1.8,0.2,1.25,2.4,2.9735825e-10,0.00019824505
1.9,0.2,1.25,4.6,3.1060004e-08,0.020493746
2.0,0.2,1.25,2.6,7.819898e-08,0.050797045
2.1,0.2,1.25,1.0,1.3540918e-09,0.0009022951
2.2,0.2,1.25,3.4,5.3829506e-08,0.035250068
2.3,0.2,1.25,2.6,8.147801e-08,0.052869737
2.4,0.2,1.25,2.4,7.924994e-08,0.051461875
2.5,0.2,1.25,1.8,2.477382e-09,0.0016502142
2.6,0.2,1.25,0.2,2.1778441e-09,0.0014508367
2.7,0.2,1.25,0.0,0.0,0.0
2.8,0.2,1.25,0.0,0.0,0.0
2.9,0.2,1.25,0.6,2.2901039e-09,0.0015255809
3.0,0.2,1.25,1.6,2.51745e-09,0.0016769171
3.1,0.2,1.25,0.2,7.63407e-11,5.0902367e-05
3.2,0.2,1.25,0.6,2.561536e-08,0.016931951
3.3,0.2,1.25,0.0,0.0,0.0
3.4,0.2,1.25,0.2,3.591888e-11,2.3961067e-05
3.5,0.2,1.25,0.4,7.183776e-11,4.786253e-05
3.6,0.2,1.25,0.4,2.213762e-09,0.0014747381
3.7,0.2,1.25,0.8,2.262772e-09,0.0015074015
3.8,0.2,1.25,0.4,1.1225958e-10,7.4863434e-05
3.9,0.2,1.25,6.6,5.706186e-09,0.0037968755
4.0,0.2,1.25,14.4,8.493398e-09,0.0056462884
4.1,0.2,1.25,6.0,4.61596e-09,0.0030725598
4.2,0.2,1.25,23.6,1.7748459e-08,0.011762559
4.3,0.2,1.25,1.8,8.123612e-10,0.0005414486
4.4,0.2,1.25,0.0,0.0,0.0
4.5,0.2,1.25,0.0,0.0,0.0
4.6,0.2,1.25,0.0,0.0,0.0
4.7,0.2,1.25,0.4,1.1225958e-10,7.4863434e-05
4.8,0.2,1.25,0.4,7.916814e-11,5.275011e-05
4.9,0.2,1.25,21.4,3.0338885e-08,0.02002275
5.0,0.2,1.25,9.8,2.8073789e-08,0.018541813
5.1,0.2,1.25,0.6,2.7820525e-08,0.018376052
5.2,0.2,1.25,0.4,2.564268e-08,0.016949832
5.3,0.2,1.25,0.0,0.0,0.0
5.4,0.2,1.25,3.8,1.408845e-09,0.00093877316
5.5,0.2,1.25,27.2,7.1431003e-09,0.0047507286
5.6,0.2,1.25,48.0,1.7829533e-08,0.011815965
5.7,0.2,1.25,0.2,3.591888e-11,2.3961067e-05
5.8,0.2,1.25,0.0,0.0,0.0
5.9,0.2,1.25,0.0,0.0,0.0
0.0,0.3,1.25,0.0,0.0,0.0
0.1,0.3,1.25,4.4,3.7036664e-08,0.02438879
0.2,0.3,1.25,13.6,6.338145e-08,0.041374028
0.3,0.3,1.25,7.0,1.1107582e-08,0.007377684
0.4,0.3,1.25,7.8,3.2834862e-08,0.021652043
0.5,0.3,1.25,9.0,2.0789075e-07,0.12941843
0.6,0.3,1.25,1.0,3.5364387e-09,0.0023548603
0.7,0.3,1.25,0.0,0.0,0.0
0.8,0.3,1.25,1.6,1.32981e-09,0.00088614225
0.9,0.3,1.25,5.4,5.6146792e-08,0.03673929
1.0,0.3,1.25,8.6,1.3269968e-08,0.0088076
1.1,0.3,1.25,8.6,1.0953607e-08,0.00727582
1.2,0.3,1.25,2.4,7.0384383e-09,0.004681289
1.3,0.3,1.25,0.0,0.0,0.0
1.4,0.3,1.25,0.0,0.0,0.0
1.5,0.3,1.25,0.6,1.2534954e-10,8.356571e-05
1.6,0.3,1.25,1.6,2.7981866e-08,0.018481672
