casename,num_drop,volume[ml],RoI
office15_0_0_A,5975,2.57479733e-05,142.26190476190476
office15_0_164_aout_A,4248,2.42931419e-05,101.14285714285714
office15_0_164_bout_A,1856,1.44719761e-05,44.19047619047619
office15_0_246_aout_A,3717,3.91880894e-05,88.5
office15_0_246_bout_A,4971,4.63922224e-05,118.35714285714286
office15_0_82_aout_A,3402,2.96718244e-05,81.0
office15_0_82_bout_A,692,1.51121421e-05,16.476190476190474
office15_360_0_A,2774,1.11917516e-05,66.04761904761905
office15_360_164_aout_A,2427,2.36013402e-05,57.785714285714285
office15_360_164_bout_A,1264,6.1553751e-06,30.095238095238095
office15_360_246_aout_A,1526,6.54077257e-06,36.333333333333336
office15_360_246_bout_A,383,3.6758056e-06,9.119047619047619
office15_360_82_aout_A,602,2.98760324e-06,14.333333333333334
office15_360_82_bout_A,648,4.73924092e-06,15.428571428571429
office15_660_0_A,564,1.30336739e-05,13.428571428571429
office15_660_164_aout_A,3048,4.98431655e-05,72.57142857142857
office15_660_164_bout_A,1994,1.13493024e-05,47.476190476190474
office15_660_246_aout_A,1880,1.53354758e-05,44.76190476190476
office15_660_246_bout_A,1333,1.06362349e-05,31.738095238095237
office15_660_82_aout_A,1051,2.6828764e-05,25.023809523809526
office15_660_82_bout_A,1311,1.3048958e-05,31.214285714285715
office15_960_0_A,3262,2.66898223e-05,77.66666666666667
office15_960_164_aout_A,3465,1.54162299e-05,82.5
office15_960_164_bout_A,1079,9.12342966e-06,25.69047619047619
office15_960_246_aout_A,5669,6.02810906e-05,134.97619047619048
office15_960_246_bout_A,3615,2.83929694e-05,86.07142857142857
office15_960_82_aout_A,2861,1.34967377e-05,68.11904761904762
office15_960_82_bout_A,2219,4.27626719e-06,52.833333333333336
office15_0_0_B,2726,1.64252269e-05,64.9047619047619
office15_0_164_aout_B,2538,2.73723035e-05,60.42857142857143
office15_0_164_bout_B,2368,3.10942087e-05,56.38095238095238
office15_0_246_aout_B,5265,2.63297625e-05,125.35714285714286
office15_0_246_bout_B,1692,5.97139888e-06,40.285714285714285
