x,y,z,num_droplets,volume,RoI
1.7,0.1,1.25,4.2,1.2463975e-07,0.07973462
1.8,0.1,1.25,1.4,5.129404e-08,0.033617973
1.9,0.1,1.25,2.4,2.6210259e-08,0.017321706
2.0,0.1,1.25,13.8,2.3314892e-07,0.14395523
2.1,0.1,1.25,13.2,2.699875e-07,0.16472286
2.2,0.1,1.25,3.4,9.849136e-08,0.063551664
2.3,0.1,1.25,5.4,5.8717557e-08,0.03838879
2.4,0.1,1.25,1.0,2.583128e-08,0.017073393
2.5,0.1,1.25,0.8,2.6494096e-10,0.00017660856
2.6,0.1,1.25,1.0,4.200352e-11,2.8014183e-05
2.7,0.1,1.25,0.0,0.0,0.0
2.8,0.1,1.25,1.8,2.6421884e-10,0.00017613173
2.9,0.1,1.25,0.2,3.591888e-11,2.3961067e-05
3.0,0.1,1.25,0.0,0.0,0.0
3.1,0.1,1.25,0.0,0.0,0.0
3.2,0.1,1.25,0.0,0.0,0.0
3.3,0.1,1.25,0.0,0.0,0.0
3.4,0.1,1.25,0.0,0.0,0.0
3.5,0.1,1.25,0.4,8.943067e-11,5.9604645e-05
3.6,0.1,1.25,0.4,1.1225958e-10,7.4863434e-05
3.7,0.1,1.25,0.2,7.63407e-11,5.0902367e-05
3.8,0.1,1.25,1.4,1.5141038e-09,0.0010088682
3.9,0.1,1.25,1.0,1.424673e-09,0.0009493232
4.0,0.1,1.25,0.6,1.12612995e-10,7.510185e-05
4.1,0.1,1.25,1.8,3.2536435e-10,0.0002169013
4.2,0.1,1.25,1.4,8.318282e-10,0.0005543828
4.3,0.1,1.25,2.0,2.4975255e-09,0.0016636252
4.4,0.1,1.25,0.8,2.6494096e-10,0.00017660856
4.5,0.1,1.25,1.4,1.4332601e-09,0.0009550452
4.6,0.1,1.25,1.8,2.5395636e-10,0.00016927719
4.7,0.1,1.25,1.0,1.6409586e-10,0.00010937452
4.8,0.1,1.25,0.6,1.5550884e-10,0.00010365248
4.9,0.1,1.25,1.6,2.5832444e-08,0.017074168
5.0,0.1,1.25,1.0,2.5717346e-08,0.016998768
5.1,0.1,1.25,2.2,1.6550281e-09,0.0011027455
5.2,0.1,1.25,2.2,5.865364e-09,0.0039026141
5.3,0.1,1.25,1.6,2.3825142e-09,0.0015870929
5.4,0.1,1.25,1.6,4.1319578e-10,0.00027543306
5.5,0.1,1.25,2.0,5.0537763e-10,0.00033688545
5.6,0.1,1.25,1.2,3.441091e-10,0.00022935867
5.7,0.1,1.25,0.0,0.0,0.0
5.8,0.1,1.25,0.0,0.0,0.0
5.9,0.1,1.25,0.0,0.0,0.0
6.0,0.1,1.25,0.0,0.0,0.0
6.1,0.1,1.25,0.0,0.0,0.0
6.2,0.1,1.25,0.0,0.0,0.0
6.3,0.1,1.25,0.0,0.0,0.0
6.4,0.1,1.25,0.0,0.0,0.0
6.5,0.1,1.25,0.0,0.0,0.0
6.6,0.1,1.25,0.0,0.0,0.0
6.7,0.1,1.25,0.6,1.8860027e-10,0.0001257062
6.8,0.1,1.25,0.4,2.254184e-09,0.0015016794
6.9,0.1,1.25,0.6,4.358516e-09,0.002901435
7.0,0.1,1.25,2.0,4.752182e-10,0.00031673908
7.1,0.1,1.25,0.0,0.0,0.0
7.2,0.1,1.25,0.0,0.0,0.0
7.3,0.1,1.25,0.0,0.0,0.0
7.4,0.1,1.25,0.0,0.0,0.0
7.5,0.1,1.25,0.0,0.0,0.0
7.6,0.1,1.25,0.0,0.0,0.0
7.7,0.1,1.25,0.0,0.0,0.0
7.8,0.1,1.25,0.2,1.3089969e-11,8.702278e-06
7.9,0.1,1.25,0.0,0.0,0.0
8.0,0.1,1.25,0.0,0.0,0.0
8.1,0.1,1.25,0.0,0.0,0.0
8.2,0.1,1.25,0.0,0.0,0.0
8.3,0.1,1.25,0.0,0.0,0.0
8.4,0.1,1.25,0.0,0.0,0.0
8.5,0.1,1.25,0.0,0.0,0.0
8.6,0.1,1.25,0.0,0.0,0.0
8.7,0.1,1.25,0.0,0.0,0.0
8.8,0.1,1.25,0.0,0.0,0.0
8.9,0.1,1.25,0.0,0.0,0.0
0.0,0.2,1.25,0.0,0.0,0.0
0.1,0.2,1.25,0.0,0.0,0.0
0.2,0.2,1.25,0.0,0.0,0.0
