case_name,diffusivity,RoI
office22_360_164_bout,0.21647058,0.14929764
office22_660_246_aout,0.31366515,0.089788914
office22_660_82_bout,0.27384615,0.119613744
office22_660_82_aout,0.2600905,0.09385628
office22_660_164_bout,0.28524888,0.13437898
office22_0_164_aout,0.12923077,0.2245978
office22_0_82_aout,0.11746606,0.30250627
office22_660_164_aout,0.28597286,0.11213777
office22_660_246_bout,0.29520363,0.13053933
office22_360_246_bout,0.23475114,0.123491034
office22_960_82_aout,0.34678733,0.116653495
office22_360_82_bout,0.16760181,0.12452871
office22_360_82_aout,0.18624434,0.15215188
office22_0_0,0.11855204,0.28278396
office22_960_164_bout,0.36923078,0.105288945
office22_0_246_aout,0.13900453,0.23546578
office22_360_164_aout,0.19674209,0.12815146
office22_360_0,0.17520362,0.12717387
office22_0_82_bout,0.117285065,0.24584381
office22_960_246_aout,0.38479638,0.10576607
office22_960_164_aout,0.33773756,0.104462355
office22_0_164_bout,0.11981901,0.3128563
office22_0_246_bout,0.12235294,0.2947091
office22_960_82_bout,0.33954751,0.1212517
office22_660_0,0.2479638,0.10738287
office22_360_246_aout,0.22660634,0.11160252
office22_960_0,0.35131222,0.102391414
office22_960_246_bout,0.39782804,0.12241687
