case_name,diffusivity,RoI
office15_360_164_bout,0.25714287,0.18054354
office15_660_246_aout,0.32857144,0.15703228
office15_660_82_bout,0.2997619,0.1519989
office15_660_82_aout,0.29761904,0.14791378
office15_660_164_bout,0.32904762,0.13459782
office15_0_164_aout,0.18690476,0.24415955
office15_0_82_aout,0.16,0.28489706
office15_660_164_aout,0.38761905,0.11948476
office15_660_246_bout,0.35404763,0.15486643
office15_360_246_bout,0.30833334,0.17088673
office15_960_82_aout,0.40690476,0.13006446
office15_360_82_bout,0.23619048,0.17390655
office15_360_82_aout,0.23690476,0.18442209
office15_0_0,0.16690476,0.21786115
office15_960_164_bout,0.39976192,0.14656903
office15_0_246_aout,0.19761905,0.2646448
office15_360_164_aout,0.24357143,0.17255272
office15_360_0,0.24452381,0.16354911
office15_0_82_bout,0.16214286,0.25709337
office15_960_246_aout,0.43238094,0.1257054
office15_960_164_aout,0.39380953,0.1089994
office15_0_164_bout,0.20809524,0.2257466
office15_0_246_bout,0.24380952,0.17889008
office15_960_82_bout,0.4157143,0.11612852
office15_660_0,0.28833333,0.14949691
office15_360_246_aout,0.26095238,0.1766126
office15_960_0,0.4097619,0.11379471
office15_960_246_bout,0.47142857,0.12002579
