case_name,diffusivity,RoI
office16_360_164_bout,0.23155555,0.17801803
office16_660_246_aout,0.41266668,0.13009623
office16_660_82_bout,0.32422224,0.12851594
office16_660_82_aout,0.34333333,0.11818741
office16_660_164_bout,0.332,0.12528872
office16_0_164_aout,0.18111111,0.23131886
office16_0_82_aout,0.14977778,0.27152103
office16_660_164_aout,0.3862222,0.14028607
office16_660_246_bout,0.374,0.13370848
office16_360_246_bout,0.24,0.16648105
office16_960_82_aout,0.47533333,0.12823237
office16_360_82_bout,0.23377778,0.18259947
office16_360_82_aout,0.22755556,0.18860574
office16_0_0,0.12733333,0.31805298
office16_960_164_bout,0.44311112,0.12823744
office16_0_246_aout,0.24355556,0.21013087
office16_360_164_aout,0.2851111,0.16331333
office16_360_0,0.22977778,0.15778354
office16_0_82_bout,0.12111111,0.37659052
office16_960_246_aout,0.44866666,0.15558027
office16_960_164_aout,0.46955556,0.12128024
office16_0_164_bout,0.123111114,0.33567053
office16_0_246_bout,0.12955555,0.2913393
office16_960_82_bout,0.39733332,0.14663245
office16_660_0,0.29422224,0.1723725
office16_360_246_aout,0.29866666,0.1570314
office16_960_0,0.40533334,0.13192905
office16_960_246_bout,0.4628889,0.12521398
