casename,num_drop,volume[ml],RoI
office15_0_0,3873.0,4.37810617e-05,92.21428571428571
office15_0_164_aout,4573.8,5.20407695e-05,108.9
office15_0_164_bout,5143.2,6.275589468e-05,122.45714285714284
office15_0_246_aout,5678.0,7.854902284e-05,135.1904761904762
office15_0_246_bout,4134.2,4.712889388e-05,98.43333333333332
office15_0_82_aout,5100.6,5.9052730720000014e-05,121.44285714285714
office15_0_82_bout,3723.8,4.0869082655999996e-05,88.66190476190476
office15_360_0,4187.8,3.7088459068e-05,99.7095238095238
office15_360_164_aout,4034.0,4.0761722362e-05,96.04761904761905
office15_360_164_bout,3853.0,4.9750441848e-05,91.73809523809523
office15_360_246_aout,4637.8,3.8676397347999996e-05,110.42380952380952
office15_360_246_bout,3944.4,6.2342409808e-05,93.91428571428571
office15_360_82_aout,4019.4,3.3385410785999996e-05,95.7
office15_360_82_bout,3482.4,3.715899182e-05,82.91428571428571
office15_660_0,4403.6,4.8997022364e-05,104.84761904761903
office15_660_164_aout,5632.0,5.0387288119999996e-05,134.09523809523813
office15_660_164_bout,4983.0,4.6249050577999997e-05,118.64285714285715
office15_660_246_aout,4937.6,5.273983328e-05,117.56190476190477
office15_660_246_bout,5271.8,6.853698204e-05,125.51904761904761
office15_660_82_aout,5061.2,5.4114460359999996e-05,120.5047619047619
office15_660_82_bout,4472.4,4.634717698e-05,106.4857142857143
office15_960_0,5349.0,6.636272004e-05,127.35714285714285
office15_960_164_aout,5360.8,4.544710392e-05,127.63809523809523
office15_960_164_bout,5380.0,7.001043928e-05,128.0952380952381
office15_960_246_aout,5811.4,6.929071969999999e-05,138.36666666666665
office15_960_246_bout,5209.8,6.332847632e-05,124.04285714285716
office15_960_82_aout,4731.6,6.223874372e-05,112.65714285714284
office15_960_82_bout,5084.0,4.8815033360000003e-05,121.04761904761904
office14_0_0,4081.0,4.0861952219999994e-05,97.16666666666667
office14_0_164_aout,4509.2,3.943854897999999e-05,107.36190476190477
office14_0_164_bout,3610.8,4.753081012e-05,85.97142857142858
office14_0_246_aout,3186.2,4.5031759520000004e-05,75.86190476190475
office14_0_246_bout,4599.2,6.908935902e-05,109.5047619047619
office14_0_82_aout,4364.2,4.1370205880000004e-05,103.9095238095238
office14_0_82_bout,5077.4,5.551443902e-05,120.89047619047616
office14_360_0,4027.6,5.6724158259999995e-05,95.89523809523811
office14_360_164_aout,5116.6,4.5773782779999996e-05,121.82380952380952
office14_360_164_bout,3303.0,4.1959167e-05,78.64285714285714
office14_360_246_aout,4539.0,4.29601927e-05,108.07142857142858
office14_360_246_bout,4737.2,5.632272075999999e-05,112.7904761904762
office14_360_82_aout,4611.4,4.077363844e-05,109.79523809523809
office14_360_82_bout,4966.2,5.016251124e-05,118.24285714285713
office14_660_0,4510.8,3.773688586e-05,107.4
office14_660_164_aout,4171.0,4.6924989139999996e-05,99.30952380952381
office14_660_164_bout,4665.6,4.598695667999999e-05,111.08571428571426
office14_660_246_aout,4180.0,3.824092894e-05,99.52380952380953
office14_660_246_bout,4944.4,8.109302428e-05,117.72380952380952
office14_660_82_aout,4840.4,5.917577884000001e-05,115.24761904761904
office14_660_82_bout,3969.6,4.050888254e-05,94.5142857142857
office14_960_0,5187.0,6.428285668e-05,123.5
office14_960_164_aout,4125.6,4.561237512e-05,98.22857142857143
office14_960_164_bout,4837.6,5.675004777999999e-05,115.18095238095239
office14_960_246_aout,5540.2,6.574441906e-05,131.9095238095238
office14_960_246_bout,5719.6,6.048441654e-05,136.1809523809524
office14_960_82_aout,3955.4,5.1862043092e-05,94.17619047619046
office14_960_82_bout,5464.4,6.450852744e-05,130.1047619047619
office1_0_0,5409.6,5.638676958e-05,163.92727272727274
office1_0_123_aout,5727.4,5.3241024219999996e-05,173.55757575757576
office1_0_123_bout,4762.2,4.985124562e-05,144.3090909090909
office1_0_164_aout,5459.2,6.559278111999999e-05,165.43030303030304
office1_0_164_bout,5600.8,4.727796186e-05,169.7212121212121
office1_0_205_aout,6844.0,7.069729252e-05,207.3939393939394
office1_0_205_bout,5785.4,5.7026046860000004e-05,175.3151515151515
office1_0_246_aout,5845.8,5.967664975999999e-05,177.14545454545456
office1_0_246_bout,6284.2,5.853553596e-05,190.43030303030304
office1_0_41_aout,5640.8,3.8274310640000003e-05,170.93333333333334
office1_0_41_bout,6332.0,4.814806382e-05,191.87878787878788
office1_0_82_aout,4233.8,3.685714055e-05,128.2969696969697
office1_0_82_bout,5525.0,4.958902574e-05,167.4242424242424
office1_660_0,3809.8,4.0317734222e-05,115.44848484848485
office1_660_123_aout,4373.8,4.3915955759999995e-05,132.53939393939393
