case_name,diffusivity,RoI
office10_360_164_bout,0.21404763,0.16771048
office10_660_246_aout,0.3597619,0.16396244
office10_660_82_bout,0.28880954,0.11550118
office10_660_82_aout,0.26690477,0.10573936
office10_660_164_bout,0.3,0.07949169
office10_0_164_aout,0.108571425,0.4113316
office10_0_82_aout,0.117380954,0.34152544
office10_660_164_aout,0.30238095,0.107560575
office10_660_246_bout,0.32833335,0.08906318
office10_360_246_bout,0.24,0.17877027
office10_960_82_aout,0.40928572,0.11860144
office10_360_82_bout,0.17952381,0.17534864
office10_360_82_aout,0.18690476,0.2077034
office10_0_0,0.11928572,0.29740232
office10_960_164_bout,0.4254762,0.09967879
office10_0_246_aout,0.117619045,0.35248196
office10_360_164_aout,0.20595238,0.18729915
office10_360_0,0.19095238,0.19417131
office10_0_82_bout,0.11666667,0.40136164
office10_960_246_aout,0.46928573,0.097115025
office10_960_164_aout,0.44761905,0.07868913
office10_0_164_bout,0.122857146,0.30286652
office10_0_246_bout,0.17452382,0.26040497
office10_960_82_bout,0.41880953,0.12019041
office10_660_0,0.24357143,0.11007953
office10_360_246_aout,0.22642857,0.17674129
office10_960_0,0.4447619,0.09650329
office10_960_246_bout,0.44404763,0.1189771
