case_name,diffusivity,RoI
office7_360_164_bout,0.3127778,0.20031913
office7_660_246_aout,0.48194444,0.15916978
office7_660_82_bout,0.4161111,0.15473905
office7_660_82_aout,0.3925,0.16785729
office7_660_164_bout,0.40361112,0.18302393
office7_0_164_aout,0.20972222,0.2926957
office7_0_82_aout,0.16138889,0.36287194
office7_660_164_aout,0.45805556,0.15109931
office7_660_246_bout,0.38555557,0.18988158
office7_360_246_bout,0.35472223,0.16907614
office7_960_82_aout,0.5366667,0.16078341
office7_360_82_bout,0.31805557,0.16929376
office7_360_82_aout,0.33916667,0.17811093
office7_0_0,0.15305555,0.3714571
office7_960_164_bout,0.52944446,0.15727466
office7_0_246_aout,0.28111112,0.212616
office7_360_164_aout,0.3625,0.13895907
office7_360_0,0.3036111,0.17454575
office7_0_82_bout,0.13694444,0.3826174
office7_960_246_aout,0.54138887,0.13783936
office7_960_164_aout,0.5655556,0.13124137
office7_0_164_bout,0.13861111,0.42010581
office7_0_246_bout,0.14083333,0.4106969
office7_960_82_bout,0.55222225,0.14946869
office7_660_0,0.44527778,0.1507729
office7_360_246_aout,0.3963889,0.16442257
office7_960_0,0.5075,0.16413283
office7_960_246_bout,0.57,0.16056904
